id,listing,link,mileage,price,is_hybrid,date_found,price_num,mileage_num,year,days_on_market,hybrid_from_text
164,MAVERIC LARIAT 4X4 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12774630,37000,"$37,995",False,2025-07-22,37995,37000,2022,20,False
165,MAVERICKS,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12770656,,"$35,995",False,2025-07-22,35995,,,20,False
166,Ford Maverik XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12761953,10754,"$32,998",False,2025-07-22,32998,10754,2022,20,False
167,MAVERIC LX,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12759635,21293,"$30,000",False,2025-07-22,30000,21293,,20,False
168,2022 FORD MAVERIC LARIAT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12743211,34557,"$36,995",False,2025-07-22,36995,34557,2022,20,False
169,FORD MAVERICKS,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12524337,,"$29,995",False,2025-07-22,29995,,,20,False
170,•••••FORD MAVERICKS XL•••••,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12469505,,"$19,900",False,2025-07-22,19900,,,20,False
171,2022 FORD MAVERIC XLT 4 PTAS FULL POWER,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12689049,13386,"$27,500",False,2025-07-22,27500,13386,2022,20,False
172,FORD MAVERICK 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12777021,14451,,False,2025-07-22,,14451,2023,20,False
173,Ford Maverick 2025 LOBO Oxfordwhite,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788713,,,False,2025-07-22,,,2025,20,False
174,Ford Maverick 2025 XLT FX-4 Oxfordwhite,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788708,,,False,2025-07-22,,,2025,20,False
175,Ford Maverick 2025 LOBO ShadowBlack,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788703,,,False,2025-07-22,,,2025,20,False
176,Ford Maverick 2025 XLT FX-4 ShadowBlack,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788701,,,False,2025-07-22,,,2025,20,False
177,Ford Maverick 2025 Tremor AzurreGray,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788696,,,False,2025-07-22,,,2025,20,False
178,Ford Maverick 2025 XLT FX-4 Terrain,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12788694,,,False,2025-07-22,,,2025,20,False
